Airport Id|Airport Code|Airport Name|City Name|Country Name
605|BDH|Bandar Lengeh|Bandar Lengeh|Iran
606|BDI|Bird Island|Bird Island|Seychelles
607|BDJ|Sjamsudin Noor|Banjarmasin|Indonesia
608|BDK|Bondoukou|Bondoukou|Cote D'Ivoire
609|BDL|Bradley Intl.|Windsor Locks|
610|BDM|Bandirma|Bandirma|Turkey
611|BDN|Talhar|Badin|Pakistan
612|BDO|Husein Sastranegara|Bandung|Indonesia
613|BDP|Bhadrapur|Bhadrapur|Nepal
614|BDQ|Vadodara|Vadodara|India
615|BDR|Igor I. Sikorsky Mem.|Bridgeport|United States
616|BDS|Papola Casale|Brindisi|Italy
617|BDT|Gbadolite|Gbadolite|Democratic Republic of Congo
618|BDU|Bardufoss|Bardufoss|Norway
619|BDV|Moba|Moba|Zaire
620|BDW|Bedford Downs|Bedford Downs|Australia
621|BDX|Broadus|Broadus|United States
622|BDY|State|Bandon|United States
623|BDZ|Baindoung|Baindoung|Papua New Guinea
624|BEA|Bereina|Bereina|Papua New Guinea
625|BEB|Benbecula|Benbecula|United Kingdom
626|BEC|Beech|Wichita|United States
627|BED|Hanscom Field|Bedford/Hanscom|United States
628|BEE|Beagle Bay|Beagle Bay|Australia
629|BEF|Bluefields|Bluefields|Nicaragua
630|BEG|Nikola Tesla|Belgrade|Serbia
631|BEH|Ross Field|Benton Harbor|United States
632|BEI|Beica|Beica|Ethiopia
633|BEJ|Kalimaru|Tanjung Redep|Indonesia
634|BEK|Bareli|Bareli|India
635|BEL|Val De Cans|Belem|Brazil
636|BEM|Bossembele|Bossembele|Central African Republic
637|BEN|Benina Intl|Benghazi|Libya
638|BEO|Belmont|Newcastle|Australia
639|BEP|Bellary|Bellary|India
640|BEQ|Honington|Bury St Edmunds|United Kingdom
641|BER|Berlin Metropolitan Area|Berlin|Germany
642|BES|Brest Lesquin|Brest|France
643|BET|Bethel Arpt.|Bethel|United States
644|BEU|Bedourie|Bedourie|Australia
645|BEV|Beer Sheba|Beer Sheba|Israel
646|BEW|Beira|Beira|Mozambique
647|BEY|Beirut Rafic Hariri Arpt.|Beirut|Lebanon
648|BEZ|Beru|Beru|Kiribati
649|BFA|Bahia Negra|Bahia Negra|Paraguay
650|BFB|Blue Fox Bay|Blue Fox Bay|United States
651|BFC|Bloomfield|Bloomfield|Australia
652|BFD|Bradford|Bradford|United States
653|BFE|Bielefeld|Bielefeld|Germany
654|BFF|Scotts Bluff County|Scottsbluff|United States
655|BFG|Bullfrog Basin|Bullfrog Basin|United States
656|BFH|Bacacheri|Curitiba|Brazil
657|BFI|Boeing Field/King County Intl. Arpt.|Seattle|United States
658|BFJ|Ba|Ba|Fiji
659|BFK|Buffalo Municipal Arpt.|Denver|United States
660|BFL|Meadows Field|Bakersfield|United States
