Id|AirlineCode|AirlineName|AirlineFullName|AirlineType
285|CY|CYPRUS AIRWAYS|CYPRUS AIRWAYS|
286|CZ|CHINA SOUTHERN AIRLINES|CHINA SOUTHERN AIRLINES|
287|D1|DIRECT AIR & TOURS|DIRECT AIR & TOURS|
288|D2|SEVERSTAL AIRCOMPANY|SEVERSTAL AIRCOMPANY|
289|D3|DAALLO AIRLINES|DAALLO AIRLINES|
290|D4|ALIDAUNIA|ALIDAUNIA|
291|D5|NEPC AIRLINES (A DIVISION OFNEPC MICON L|NEPC AIRLINES (A DIVISION OFNEPC MICON L|
292|D6|INTERAIR SOUTH AFRICA|INTERAIR SOUTH AFRICA|
293|D7|AIR ASIA X|AIR ASIA X|
294|D8|DJIBOUTI AIRLINES|DJIBOUTI AIRLINES|
295|D9|DONAVIA|DONAVIA|
296|DA|AIR GEORGIA|AIR GEORGIA|
297|DB|BRIT AIR|BRIT AIR|
298|DC|GOLDEN AIR|GOLDEN AIR|
299|DD|NOK AIR|NOK AIR|
300|DE|CONDOR|CONDOR|
301|DF|AEROLINEAS DE BALEARES|AEROLINEAS DE BALEARES|
302|DG|SOUTH EAST ASIAN AIRLINES|SOUTH EAST ASIAN AIRLINES|
303|DH|VOSTOK AIRLINES|VOSTOK AIRLINES|
304|DI|DIVI DIVI AIR|DIVI DIVI AIR|
305|DJ|VIRGIN BLUE|VIRGIN BLUE|
306|DK|EASTLAND AIR|EASTLAND AIR|
307|DL|DELTA AIR LINES|DELTA AIR LINES|
308|DM|STERLING BLUE|STERLING BLUE|
309|DN|SÉNÉGAL AIRLINES|SÉNÉGAL AIRLINES|
310|DO|AIR VALLEE|AIR VALLEE|
311|DP|FIRST CHOICE|FIRST CHOICE|
312|DQ|COASTAL AIR TRANSPORT|COASTAL AIR TRANSPORT|
313|DR|AIR LINK|AIR LINK|
314|DS|EASYJET SWITZERLAND|EASYJET SWITZERLAND|
315|DT|TAAG|TAAG|
316|DU|HEMUS AIR|HEMUS AIR|
317|DV|SCAT|SCAT|
318|DW|AERO-CHARTER UKRAINE|AERO-CHARTER UKRAINE|
319|DX|DANISH AIR TRANSPORT|DANISH AIR TRANSPORT|
320|DY|NORWEGIAN AIR SHUTTLE|NORWEGIAN AIR SHUTTLE|
